,Job Title,Company,Experience,Salary,Requirements,Link
122,Специалист клиентской поддержки (входящие обращения),ТОО Международная беттинг компания Parimatch (ТОО БК PM Бет),Опыт 1-3 года,220 000 – 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108586957?hhtmFrom=vacancy_search_list
123,Специалист сопровождения банковских систем,"Евразийский банк, АО",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108713779?hhtmFrom=vacancy_search_list
124,Специалист службы технической поддержки клиентов,ТОО Grand era,Опыт 3-6 лет,до 600 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/107996633?hhtmFrom=vacancy_search_list
125,Application Security Engineer,Публичная Компания «Freedom Finance Global PLC»,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108674752?hhtmFrom=vacancy_search_list
126,Старший специалист Service Desk,АО Алма Телекоммуникейшнс Казахстан (ALMA +),Опыт 1-3 года,от 200 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108721639?hhtmFrom=vacancy_search_list
127,Менеджер технической поддержки,ТОО 1Fit,Опыт 1-3 года,от 200 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108834369?hhtmFrom=vacancy_search_list
128,Frontend-разработчик,ТОО Аврора Сервис,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107783971?hhtmFrom=vacancy_search_list
129,Customer Support Specialist,Speedlinehub,Опыт 1-3 года,645 – 1 100 $ на руки,Not specified,https://almaty.hh.kz/vacancy/108189534?hhtmFrom=vacancy_search_list
130,Специалист чат-поддержки,ТОО Микрофинансовая организация Hava Finance (Хава Финанс),Без опыта,120 000 – 250 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108455577?hhtmFrom=vacancy_search_list
131,Специалист по технической поддержке,АО «ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»,Опыт 1-3 года,до 300 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108771844?hhtmFrom=vacancy_search_list
132,Специалист IT,ТОО Inova Tech,Опыт 3-6 лет,от 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108441541?hhtmFrom=vacancy_search_list
133,Ведущий эксперт по кибербезопасности Отдел мониторинга и реагирования,АО Bereke Bank,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108478002?hhtmFrom=vacancy_search_list
134,"Специалист технической поддержки в чате (русский язык, удалённо)",Liene,Без опыта,от 250 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108189763?hhtmFrom=vacancy_search_list
135,Инженер технической поддержки,Kaspi.kz,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108621549?hhtmFrom=vacancy_search_list
