Job Title;Company;Experience;Salary;Link
QA-engineer (manual, junior/middle);АО Народный банк Казахстана;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108453572?hhtmFrom=vacancy_search_list
Начальник IT отдела;ТОО BP Contact;Опыт 3-6 лет;600 000 – 800 000 ₸ на руки;https://almaty.hh.kz/vacancy/108199170?hhtmFrom=vacancy_search_list
Преподаватель информатики;ИП Jastime;Опыт 1-3 года;85 000 – 200 000 ₸ на руки;https://almaty.hh.kz/vacancy/108616921?hhtmFrom=vacancy_search_list
Технический Специалист;ТОО F-Service;Опыт 1-3 года;250 000 – 400 000 ₸ на руки;https://almaty.hh.kz/vacancy/108832717?hhtmFrom=vacancy_search_list
QA Engineer;АО Страховая компания Freedom Insurance;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108276293?hhtmFrom=vacancy_search_list
Middle QA;Казтелепорт, АО;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/107483953?hhtmFrom=vacancy_search_list
QA engineer (manual);ТОО Halyk Finservice;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/106031573?hhtmFrom=vacancy_search_list
Support Associate (Сотрудник службы поддержки);ТОО Wolt TechnologiesKazakhstan (Вольт Технолоджис Казахстан);Без опыта;175 000 – 260 000 ₸ на руки;https://almaty.hh.kz/vacancy/98448202?hhtmFrom=vacancy_search_list
Backend GO Developer;ТОО PingOcean (ПингОушен);Опыт 1-3 года;от 500 000 ₸ на руки;https://almaty.hh.kz/vacancy/108382759?hhtmFrom=vacancy_search_list
Support Manager;ТОО Wolt TechnologiesKazakhstan (Вольт Технолоджис Казахстан);Опыт 3-6 лет;до 650 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108459464?hhtmFrom=vacancy_search_list
Java Backend Developer;АО Kcell;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108475336?hhtmFrom=vacancy_search_list
Программист-разработчик;ТОО СОЛО ЛЛП (SOLO LLP);Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107916955?hhtmFrom=vacancy_search_list
Инженер Технической поддержки Сетевой Безопасности (Security);ТОО Winncom Technologies/Уиннком Технолоджис;Опыт 3-6 лет;500 000 – 1 000 000 ₸ на руки;https://almaty.hh.kz/vacancy/108612545?hhtmFrom=vacancy_search_list
Бизнес-аналитик/BA;Not specified;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108590136?hhtmFrom=vacancy_search_list
QA enjeneer;ТОО КОМПАНИЯ Э-КОМ ПРАЙМ;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107300254?hhtmFrom=vacancy_search_list
Senior PHP developer;ТОО Kulan Oil;"Опыт более 6&nbsp;лет";Not specified;https://almaty.hh.kz/vacancy/108804561?hhtmFrom=vacancy_search_list
Дежурный инженер мониторинга (Senior);ТОО ЕСРК IT;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108243263?hhtmFrom=vacancy_search_list
Datacom Engineer;ТОО Хуавей Текнолоджиз Казахстан;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108747135?hhtmFrom=vacancy_search_list
Программист 1С;ТОО ASTER AUTO;Без опыта;300 000 – 1 500 000 ₸ на руки;https://almaty.hh.kz/vacancy/108037724?hhtmFrom=vacancy_search_list
Head of engineering;Teez;"Опыт более 6&nbsp;лет";от 3 000 000 ₸ на руки;https://almaty.hh.kz/vacancy/107553196?hhtmFrom=vacancy_search_list
DevOps Engineer (стажер);ТОО U-FUTURE;Без опыта;Not specified;https://almaty.hh.kz/vacancy/107587041?hhtmFrom=vacancy_search_list
Разработчик Big Data;Beeline, ТМ;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108619153?hhtmFrom=vacancy_search_list
